URL,Version,Status,OIDs,Name,Title,Description,Used
https://www.medizininformatik-initiative.de/fhir/ext/modul-pro/CodeSystem/mii-cs-pro-bdi-bdi2,2026.2.0,active,,MII_CS_PRO_BDI_BDI2_AnswerList,MII CS PRO BDI-II,"MII CS PRO BDI-II ValueSet for Beck Depression Inventory II (BDI-II) Questionnaire","ValueSet/mii-vs-pro-bdi-bdi2-long,ValueSet/mii-vs-pro-bdi-bdi2-short"
https://www.medizininformatik-initiative.de/fhir/ext/modul-pro/CodeSystem/mii-cs-pro-dass-21,2026.2.0,active,,MII_CS_PRO_DASS_21,MII CS PRO DASS-21 Response Scale and Item Codes,"CodeSystem for the Depression Anxiety Stress Scales - Short Form (DASS-21) with answer codes, item codes, and multilingual support (English primary, German translations from Nilges & Essau 2015)","ValueSet/mii-vs-pro-dass-21-answer-list"
https://www.medizininformatik-initiative.de/fhir/ext/modul-pro/CodeSystem/mii-cs-pro-eortc-qlq-c30,2026.2.0,active,,MII_CS_PRO_EORTC_QLQ_C30,MII CS PRO EORTC QLQ-C30 Response Scale,"Response scale for EORTC QLQ-C30 questionnaire items with multilingual support","ValueSet/mii-vs-pro-eortc-qlq-c30-scale-4pt,ValueSet/eortc-qlq-c30-7pt,ValueSet/eortc-qlq-c30-4pt,ValueSet/mii-vs-pro-eortc-qlq-c30-scale-7pt,ValueSet/mii-vs-pro-eortc-qlq-c30-scale-role"
https://www.medizininformatik-initiative.de/fhir/ext/modul-pro/CodeSystem/mii-cs-pro-eq-5d-value-set,2026.2.0,active,,MII_CS_PRO_EQ_5D_ValueSet,MII CS EQ-5D Value Set,"EuroQol EQ-5D Value Set",
https://www.medizininformatik-initiative.de/fhir/ext/modul-pro/CodeSystem/mii-cs-pro-midos2,2026.2.0,draft,,MII_CS_PRO_MIDOS2,MII CS PRO MIDOS2 Items and Response Scales,"CodeSystem for the Minimal Documentation System v2 (MIDOS2) — German palliative care symptom screening instrument. Contains item codes, DGP-4-stufige Severity-Skala, and 4-stufige Wohlbefinden-Skala. German primary language, English translations as designations.","ValueSet/mii-vs-pro-midos2-severity,ValueSet/mii-vs-pro-midos2-wellbeing"
https://www.medizininformatik-initiative.de/fhir/ext/modul-pro/CodeSystem/mii-cs-pro-pro-ctcae,2026.2.0,active,,MII_CS_PRO_PRO_CTCAE,MII CS PRO PRO-CTCAE Item Library,"CodeSystem for the Patient-Reported Outcomes version of the Common Terminology Criteria for Adverse Events (PRO-CTCAE). Contains all 124 items across 78 adverse events with English primary text and German designations from the NCI-authorized translation. Item Library Version 1.0.","ValueSet/mii-vs-pro-pro-ctcae-presence,ValueSet/mii-vs-pro-pro-ctcae-severity-sexual,ValueSet/mii-vs-pro-pro-ctcae-frequency,ValueSet/mii-vs-pro-pro-ctcae-severity-radiation,ValueSet/mii-vs-pro-pro-ctcae-interference,ValueSet/mii-vs-pro-pro-ctcae-presence-na,ValueSet/mii-vs-pro-pro-ctcae-presence-sexual,ValueSet/mii-vs-pro-pro-ctcae-frequency-sexual,ValueSet/mii-vs-pro-pro-ctcae-severity"
https://www.medizininformatik-initiative.de/fhir/ext/modul-pro/CodeSystem/mii-cs-pro-questionnaire-catalogue,2026.2.0,active,,MII_CS_PRO_Questionnaire_Catalogue,MII CS PRO Questionnaire Catalogue,"MII CS PRO Questionnaire Catalogue for PRO Questionnaires used in the MII PROMs Module",
https://www.medizininformatik-initiative.de/fhir/ext/modul-pro/CodeSystem/mii-cs-pro-score-catalogue,2026.2.0,active,,MII_CS_PRO_Score_Catalogue,MII CS PRO Score Catalogue,"MII CS PRO Score Catalogue for PRO Scores used in the MII PROMs Module",
