"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: PRO LogicalModel FHIR Mapping"
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortString.modifierExtension","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortString.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortString.AntwortStringMinLength","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortString.AntwortStringMinLength","","","",0,1,"","","","integer {[]} {[]}
","Minimale Länge","Minimale Anzahl Zeichen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortString.AntwortStringMinLength",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortString.AntwortStringMaxLength","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortString.AntwortStringMaxLength","","","",0,1,"","","","integer {[]} {[]}
","Maximale Länge","Maximale Anzahl Zeichen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortString.AntwortStringMaxLength",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl","","","",0,*,"","","","BackboneElement {[]} {[]}
","Auswahlantworten","Vordefinierte Antwortoptionen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.id","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.extension","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.modifierExtension","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.Mehrfachauswahl","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.Mehrfachauswahl","","","",0,1,"","","","boolean {[]} {[]}
","Mehrfachauswahl","Ob mehrere Optionen wählbar sind","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.Mehrfachauswahl",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortStandardValueSetReference","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortStandardValueSetReference","","","",0,1,"","","","uri {[]} {[]}
","ValueSet Referenz","Verweis auf externes ValueSet","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortStandardValueSetReference",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption","","","",1,*,"","","","BackboneElement {[]} {[]}
","Antwortoption","Einzelne Antwortoption","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Questionnaire.item.answerOption"
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.id","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.extension","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.modifierExtension","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionText","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionText","","","",1,1,"","","","string {[]} {[]}
","Anzeigetext","Text der Antwortoption","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionText",1,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionExklusive","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionExklusive","","","",0,1,"","","","boolean {[]} {[]}
","Exklusiv","Schließt andere Optionen aus","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionExklusive",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionCodeIntern","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionCodeIntern","","","",0,1,"","","","code {[]} {[]}
","Interner Code","Einrichtungsspezifischer Code","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionCodeIntern",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionStandardCode","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionStandardCode","","","",0,1,"","","","code {[]} {[]}
","Standard Code","Code aus Standardterminologie","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionStandardCode",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionStandardSystem","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionStandardSystem","","","",0,1,"","","","uri {[]} {[]}
","Codesystem","URI des Codesystems","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionStandardSystem",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionStandardSystemVersion","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionStandardSystemVersion","","","",0,1,"","","","string {[]} {[]}
","Codesystem-Version","Version des Codesystems","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionStandardSystemVersion",0,1,"",""
"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionGewicht","mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionGewicht","","","",0,1,"","","","decimal {[]} {[]}
","Scoring-Gewicht","Numerischer Wert für Score-Berechnung","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Fragen.AntwortVorlage.AntwortAuswahl.AntwortAuswahlOption.AntwortOptionGewicht",0,1,"",""
"mii-lm-pro.Fragebogen.Autoren","mii-lm-pro.Fragebogen.Autoren","","","",0,*,"","","","BackboneElement {[]} {[]}
","Autoren","Ersteller des Fragebogens","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Autoren",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Fragebogen.Autoren.id","mii-lm-pro.Fragebogen.Autoren.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Fragebogen.Autoren.extension","mii-lm-pro.Fragebogen.Autoren.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Fragebogen.Autoren.modifierExtension","mii-lm-pro.Fragebogen.Autoren.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Fragebogen.Autoren.Autor","mii-lm-pro.Fragebogen.Autoren.Autor","","","",1,1,"","","","string {[]} {[]}
","Name","Name des Autors oder der Organisation","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Autoren.Autor",1,1,"",""
"mii-lm-pro.Fragebogen.Copyright","mii-lm-pro.Fragebogen.Copyright","","","",0,1,"","","","string {[]} {[]}
","Copyright","Urheberrechtsinformationen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Fragebogen.Copyright",0,1,"","","Questionnaire.copyright"
"mii-lm-pro.AusgefuellterFragebogen","mii-lm-pro.AusgefuellterFragebogen","","","",0,*,"","","","BackboneElement {[]} {[]}
","Ausgefüllter Fragebogen (QuestionnaireResponse)","Ausgefüllte Instanz eines Fragebogens","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse"
"mii-lm-pro.AusgefuellterFragebogen.id","mii-lm-pro.AusgefuellterFragebogen.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.AusgefuellterFragebogen.extension","mii-lm-pro.AusgefuellterFragebogen.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.AusgefuellterFragebogen.modifierExtension","mii-lm-pro.AusgefuellterFragebogen.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.AusgefuellterFragebogen.FragebogenIDIntern","mii-lm-pro.AusgefuellterFragebogen.FragebogenIDIntern","","","",1,1,"","","","string {[]} {[]}
","Referenz zum Fragebogen","Verweis auf den zugrundeliegenden Fragebogen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.FragebogenIDIntern",1,1,"","","QuestionnaireResponse.questionnaire"
"mii-lm-pro.AusgefuellterFragebogen.Antwort","mii-lm-pro.AusgefuellterFragebogen.Antwort","","","",0,*,"","","","BackboneElement {[]} {[]}
","Antworten","Erfasste Antworten","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.id","mii-lm-pro.AusgefuellterFragebogen.Antwort.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.AusgefuellterFragebogen.Antwort.extension","mii-lm-pro.AusgefuellterFragebogen.Antwort.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.modifierExtension","mii-lm-pro.AusgefuellterFragebogen.Antwort.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortErfasst","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortErfasst","","","",0,1,"","","","boolean {[]} {[]}
","Antwort vorhanden","Ob eine Antwort gegeben wurde","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortErfasst",0,1,"",""
"mii-lm-pro.AusgefuellterFragebogen.Antwort.FragenIntern","mii-lm-pro.AusgefuellterFragebogen.Antwort.FragenIntern","","","",1,1,"","","","string {[]} {[]}
","Frage-Referenz","Verweis auf die beantwortete Frage","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort.FragenIntern",1,1,"","","QuestionnaireResponse.item.linkId"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortCode","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortCode","","","",0,1,"","","","code {[]} {[]}
","Antwort-Code","Codierte Antwort","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortCode",0,1,"","","QuestionnaireResponse.item.answer.valueCoding"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortNummer","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortNummer","","","",0,1,"","","","decimal {[]} {[]}
","Numerische Antwort","Zahlenwert als Antwort","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortNummer",0,1,"","","QuestionnaireResponse.item.answer.valueDecimal"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortString","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortString","","","",0,1,"","","","string {[]} {[]}
","Text-Antwort","Freitext als Antwort","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortString",0,1,"","","QuestionnaireResponse.item.answer.valueString"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortDatum","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortDatum","","","",0,1,"","","","date {[]} {[]}
","Datums-Antwort","Datum als Antwort","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortDatum",0,1,"","","QuestionnaireResponse.item.answer.valueDate"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.Erfassungsdatum","mii-lm-pro.AusgefuellterFragebogen.Antwort.Erfassungsdatum","","","",0,1,"","","","dateTime {[]} {[]}
","Erfassungszeitpunkt","Zeitpunkt der Antworterfassung","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort.Erfassungsdatum",0,1,"","","QuestionnaireResponse.authored"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage","","","",0,1,"","","","BackboneElement {[]} {[]}
","Gewählte Option","Bei Auswahlantworten","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.id","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.extension","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
